Periode,Wilayah,Kode Wilayah,Kota/Kab,Kode Kota/Kab,Status Sekolah,Baik,Rusak Ringan,Rusak Sedang,Rusak Berat,Total Rusak,Jumlah
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE,7402,Swasta,10,3,0,1,14,14
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE,7402,Negeri,125,83,54,85,347,347
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE,7402,Negeri dan Swasta,135,86,54,86,361,361
2024,PROV. SULAWESI TENGGARA,74,KAB. MUNA,7403,Negeri,98,32,62,88,280,280
2024,PROV. SULAWESI TENGGARA,74,KAB. MUNA,7403,Swasta,20,5,10,8,43,43
2024,PROV. SULAWESI TENGGARA,74,KAB. MUNA,7403,Negeri dan Swasta,118,37,72,96,323,323
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON,7404,Swasta,2,1,2,0,5,5
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON,7404,Negeri,92,60,37,31,220,220
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON,7404,Negeri dan Swasta,94,61,39,31,225,225
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE SELATAN,7405,Swasta,7,3,0,0,10,10
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE SELATAN,7405,Negeri dan Swasta,121,153,138,35,447,447
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE SELATAN,7405,Negeri,114,150,138,35,437,437
2024,PROV. SULAWESI TENGGARA,74,KAB. BOMBANA,7406,Swasta,12,1,3,4,20,20
2024,PROV. SULAWESI TENGGARA,74,KAB. BOMBANA,7406,Negeri,96,51,36,32,215,215
2024,PROV. SULAWESI TENGGARA,74,KAB. BOMBANA,7406,Negeri dan Swasta,108,52,39,36,235,235
2024,PROV. SULAWESI TENGGARA,74,KAB. WAKATOBI,7407,Swasta,4,2,2,2,10,10
2024,PROV. SULAWESI TENGGARA,74,KAB. WAKATOBI,7407,Negeri dan Swasta,40,57,61,32,190,190
2024,PROV. SULAWESI TENGGARA,74,KAB. WAKATOBI,7407,Negeri,36,55,59,30,180,180
2024,PROV. SULAWESI TENGGARA,74,KAB. KOLAKA UTARA,7408,Negeri dan Swasta,58,43,23,33,157,157
2024,PROV. SULAWESI TENGGARA,74,KAB. KOLAKA UTARA,7408,Negeri,57,40,22,33,152,152
2024,PROV. SULAWESI TENGGARA,74,KAB. KOLAKA UTARA,7408,Swasta,1,3,1,0,5,5
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE UTARA,7409,Negeri dan Swasta,74,46,29,15,164,164
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE UTARA,7409,Negeri,74,45,29,14,162,162
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE UTARA,7409,Swasta,0,1,0,1,2,2
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON UTARA,7410,Negeri dan Swasta,58,17,36,24,135,135
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON UTARA,7410,Negeri,58,17,36,24,135,135
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON UTARA,7410,Swasta,0,0,0,0,0,0
2024,PROV. SULAWESI TENGGARA,74,KAB. KOLAKA TIMUR,7411,Negeri dan Swasta,73,49,31,19,172,172
2024,PROV. SULAWESI TENGGARA,74,KAB. KOLAKA TIMUR,7411,Swasta,4,1,0,0,5,5
2024,PROV. SULAWESI TENGGARA,74,KAB. KOLAKA TIMUR,7411,Negeri,69,48,31,19,167,167
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE KEPULAUAN,7412,Negeri dan Swasta,26,15,38,3,82,82
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE KEPULAUAN,7412,Negeri,26,15,38,2,81,81
2024,PROV. SULAWESI TENGGARA,74,KAB. KONAWE KEPULAUAN,7412,Swasta,0,0,0,1,1,1
2024,PROV. SULAWESI TENGGARA,74,KAB. MUNA BARAT,7413,Swasta,4,1,1,2,8,8
2024,PROV. SULAWESI TENGGARA,74,KAB. MUNA BARAT,7413,Negeri dan Swasta,61,23,27,44,155,155
2024,PROV. SULAWESI TENGGARA,74,KAB. MUNA BARAT,7413,Negeri,57,22,26,42,147,147
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON TENGAH,7414,Negeri dan Swasta,60,40,44,9,153,153
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON TENGAH,7414,Swasta,5,0,0,0,5,5
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON TENGAH,7414,Negeri,55,40,44,9,148,148
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON SELATAN,7415,Negeri,45,27,22,22,116,116
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON SELATAN,7415,Negeri dan Swasta,45,28,22,22,117,117
2024,PROV. SULAWESI TENGGARA,74,KAB. BUTON SELATAN,7415,Swasta,0,1,0,0,1,1
2024,PROV. SULAWESI TENGGARA,74,KOTA KENDARI,7471,Swasta,51,17,11,5,84,84
2024,PROV. SULAWESI TENGGARA,74,KOTA KENDARI,7471,Negeri,86,25,55,9,175,175
2024,PROV. SULAWESI TENGGARA,74,KOTA KENDARI,7471,Negeri dan Swasta,137,42,66,14,259,259
2024,PROV. SULAWESI TENGGARA,74,KOTA BAU BAU,7472,Swasta,10,8,5,0,23,23
2024,PROV. SULAWESI TENGGARA,74,KOTA BAU BAU,7472,Negeri,41,21,16,28,106,106
2024,PROV. SULAWESI TENGGARA,74,KOTA BAU BAU,7472,Negeri dan Swasta,51,29,21,28,129,129
2024,PROV. GORONTALO,75,KAB. GORONTALO,7501,Negeri dan Swasta,175,94,70,50,389,389
2024,PROV. GORONTALO,75,KAB. GORONTALO,7501,Swasta,29,4,3,0,36,36
2024,PROV. GORONTALO,75,KAB. GORONTALO,7501,Negeri,146,90,67,50,353,353
2024,PROV. GORONTALO,75,KAB. BOALEMO,7502,Negeri,137,50,65,17,269,269
2024,PROV. GORONTALO,75,KAB. BOALEMO,7502,Swasta,3,0,0,0,3,3
2024,PROV. GORONTALO,75,KAB. BOALEMO,7502,Negeri dan Swasta,140,50,65,17,272,272
2024,PROV. GORONTALO,75,KAB. BONE BOLANGO,7503,Negeri,86,36,71,5,198,198
2024,PROV. GORONTALO,75,KAB. BONE BOLANGO,7503,Swasta,6,0,0,0,6,6
2024,PROV. GORONTALO,75,KAB. BONE BOLANGO,7503,Negeri dan Swasta,92,36,71,5,204,204
2024,PROV. GORONTALO,75,KAB. POHUWATO,7504,Negeri,66,64,35,26,191,191
2024,PROV. GORONTALO,75,KAB. POHUWATO,7504,Swasta,6,3,0,1,10,10
2024,PROV. GORONTALO,75,KAB. POHUWATO,7504,Negeri dan Swasta,72,67,35,27,201,201
2024,PROV. GORONTALO,75,KAB. GORONTALO UTARA,7505,Negeri dan Swasta,86,37,27,53,203,203
2024,PROV. GORONTALO,75,KAB. GORONTALO UTARA,7505,Swasta,3,0,0,0,3,3
2024,PROV. GORONTALO,75,KAB. GORONTALO UTARA,7505,Negeri,83,37,27,53,200,200
2024,PROV. GORONTALO,75,KOTA GORONTALO,7571,Swasta,25,6,4,0,35,35
2024,PROV. GORONTALO,75,KOTA GORONTALO,7571,Negeri,70,26,28,8,132,132
2024,PROV. GORONTALO,75,KOTA GORONTALO,7571,Negeri dan Swasta,95,32,32,8,167,167
2024,PROV. SULAWESI BARAT,76,KAB. PASANGKAYU,7601,Swasta,10,1,3,0,14,14
2024,PROV. SULAWESI BARAT,76,KAB. PASANGKAYU,7601,Negeri dan Swasta,119,36,43,20,218,218
2024,PROV. SULAWESI BARAT,76,KAB. PASANGKAYU,7601,Negeri,109,35,40,20,204,204
2024,PROV. SULAWESI BARAT,76,KAB. MAMUJU,7602,Negeri,78,39,70,80,267,267
2024,PROV. SULAWESI BARAT,76,KAB. MAMUJU,7602,Swasta,10,5,5,2,22,22
2024,PROV. SULAWESI BARAT,76,KAB. MAMUJU,7602,Negeri dan Swasta,88,44,75,82,289,289
2024,PROV. SULAWESI BARAT,76,KAB. MAMASA,7603,Negeri dan Swasta,58,67,92,84,301,301
2024,PROV. SULAWESI BARAT,76,KAB. MAMASA,7603,Swasta,10,11,8,10,39,39
2024,PROV. SULAWESI BARAT,76,KAB. MAMASA,7603,Negeri,48,56,84,74,262,262
2024,PROV. SULAWESI BARAT,76,KAB. POLEWALI MANDAR,7604,Negeri,126,132,91,51,400,400
2024,PROV. SULAWESI BARAT,76,KAB. POLEWALI MANDAR,7604,Negeri dan Swasta,139,135,93,53,420,420
2024,PROV. SULAWESI BARAT,76,KAB. POLEWALI MANDAR,7604,Swasta,13,3,2,2,20,20
